ship_type,route_id,month,distance,fuel_type,fuel_consumption,CO2_emissions,weather_conditions,engine_efficiency
Fishing Trawler,Escravos-Lagos,October,144.15,Diesel,3649.72,9225.45,Moderate,83.86
Fishing Trawler,Lagos-Apapa,November,154.6,Diesel,4592.25,12442.34,Stormy,92.07
Fishing Trawler,Port Harcourt-Lagos,December,173.83,Diesel,5049.27,14184.19,Calm,76.39
Oil Service Boat,Escravos-Lagos,January,112.97,HFO,3256.57,8593.47,Stormy,70.62
Oil Service Boat,Lagos-Apapa,February,45.14,HFO,1485.59,4280.62,Moderate,71.66
Oil Service Boat,Port Harcourt-Lagos,March,29.38,Diesel,855.01,2195.9,Calm,81.53
Oil Service Boat,Port Harcourt-Lagos,April,42.24,Diesel,1376.47,3818.13,Moderate,94.55
Oil Service Boat,Warri-Bonny,May,135.8,Diesel,4750.93,13723.76,Moderate,75.27
Oil Service Boat,Lagos-Apapa,June,71.68,Diesel,1823.65,5462.13,Stormy,87.39
Oil Service Boat,Escravos-Lagos,July,149.48,HFO,4211.85,12512.93,Calm,79.75
Oil Service Boat,Warri-Bonny,August,95.13,Diesel,3105.75,9081.23,Stormy,85.76
Oil Service Boat,Warri-Bonny,September,128.87,Diesel,3322.01,8854.93,Moderate,93.64
Oil Service Boat,Escravos-Lagos,October,33.63,Diesel,1146.14,2913.96,Stormy,83.25
Oil Service Boat,Port Harcourt-Lagos,November,110.44,HFO,2852.88,7506.96,Stormy,71.78
Oil Service Boat,Escravos-Lagos,December,59.01,Diesel,1685.14,4526.48,Moderate,75.24
Surfer Boat,Escravos-Lagos,January,86.9,Diesel,1698.32,4498.8,Calm,70.52
Surfer Boat,Lagos-Apapa,February,58.95,Diesel,734.45,1960.81,Stormy,75.07
Surfer Boat,Port Harcourt-Lagos,March,64.67,Diesel,1271.96,3285.93,Calm,90.92
Surfer Boat,Lagos-Apapa,April,39.85,Diesel,670.74,1720.02,Stormy,73.87
Surfer Boat,Escravos-Lagos,May,192.04,Diesel,3037.36,7648.96,Calm,72.3
Surfer Boat,Warri-Bonny,June,111.84,Diesel,1440.61,4170.02,Stormy,75.06
Surfer Boat,Lagos-Apapa,July,165.4,Diesel,2811.38,8143.0,Calm,79.71
Surfer Boat,Port Harcourt-Lagos,August,162.48,Diesel,2082.27,5954.64,Calm,70.62
Surfer Boat,Port Harcourt-Lagos,September,183.71,Diesel,2460.76,6454.7,Calm,78.82
Surfer Boat,Lagos-Apapa,October,80.93,Diesel,977.22,2612.85,Moderate,89.57
Surfer Boat,Warri-Bonny,November,170.44,Diesel,1995.64,5617.77,Calm,89.0
Surfer Boat,Escravos-Lagos,December,181.02,Diesel,1983.66,5019.8,Moderate,84.91
Tanker Ship,Escravos-Lagos,January,336.53,Diesel,15596.39,42180.94,Calm,72.59
Tanker Ship,Escravos-Lagos,February,494.24,HFO,18375.75,46753.73,Stormy,94.18
Tanker Ship,Warri-Bonny,March,159.49,HFO,5906.8,17358.94,Calm,74.34
Tanker Ship,Port Harcourt-Lagos,April,363.22,Diesel,17778.61,53142.22,Calm,75.92
Tanker Ship,Warri-Bonny,May,77.01,HFO,2362.84,6230.95,Moderate,71.15
Tanker Ship,Escravos-Lagos,June,436.73,Diesel,20235.74,56400.31,Moderate,88.75
Tanker Ship,Warri-Bonny,July,405.98,HFO,12469.38,35971.47,Moderate,89.93
Tanker Ship,Port Harcourt-Lagos,August,77.51,HFO,2841.99,7692.62,Moderate,71.44
Tanker Ship,Port Harcourt-Lagos,September,134.88,HFO,5792.23,15446.17,Calm,87.7
Tanker Ship,Warri-Bonny,October,199.13,Diesel,7219.15,18859.62,Calm,92.1
Tanker Ship,Escravos-Lagos,November,441.93,Diesel,17429.33,51377.83,Calm,79.16
Tanker Ship,Lagos-Apapa,December,172.3,Diesel,8249.38,24081.26,Calm,76.53
Surfer Boat,Lagos-Apapa,January,147.9,Diesel,2656.39,7258.52,Stormy,87.24
Surfer Boat,Escravos-Lagos,February,44.52,Diesel,663.13,1891.44,Stormy,94.2
Surfer Boat,Lagos-Apapa,March,113.0,Diesel,1635.86,4560.25,Moderate,76.44
Surfer Boat,Lagos-Apapa,April,87.17,Diesel,1604.67,4669.62,Stormy,92.06
Surfer Boat,Escravos-Lagos,May,197.78,Diesel,3001.65,7873.3,Stormy,73.67
Surfer Boat,Warri-Bonny,June,62.36,Diesel,1164.2,2944.68,Calm,93.83
Surfer Boat,Warri-Bonny,July,158.07,Diesel,2584.62,7211.22,Stormy,81.67
Surfer Boat,Warri-Bonny,August,117.52,Diesel,1895.33,5369.6,Moderate,89.42
Surfer Boat,Lagos-Apapa,September,155.32,Diesel,2351.29,6941.15,Stormy,87.02
Surfer Boat,Escravos-Lagos,October,145.53,Diesel,2773.1,8311.52,Moderate,79.32
Surfer Boat,Port Harcourt-Lagos,November,34.55,Diesel,635.93,1664.64,Calm,85.62
Surfer Boat,Lagos-Apapa,December,129.52,Diesel,1437.19,4194.45,Calm,88.26
Surfer Boat,Warri-Bonny,January,66.87,Diesel,700.97,1962.76,Calm,86.15
Surfer Boat,Escravos-Lagos,February,31.95,Diesel,354.39,1027.23,Moderate,88.57
Surfer Boat,Lagos-Apapa,March,134.85,Diesel,1486.38,4270.31,Moderate,88.42
Surfer Boat,Escravos-Lagos,April,111.86,Diesel,1817.6,4665.14,Stormy,94.84
Surfer Boat,Port Harcourt-Lagos,May,77.89,Diesel,916.5,2389.22,Stormy,80.75
Surfer Boat,Port Harcourt-Lagos,June,147.09,Diesel,2905.05,8256.81,Calm,86.78
Surfer Boat,Escravos-Lagos,July,52.12,Diesel,815.52,2070.1,Stormy,80.59
Surfer Boat,Port Harcourt-Lagos,August,46.21,Diesel,644.66,1764.81,Calm,74.71
Surfer Boat,Port Harcourt-Lagos,September,54.78,Diesel,1025.44,2795.27,Moderate,87.9
Surfer Boat,Escravos-Lagos,October,56.75,Diesel,746.58,2121.01,Moderate,74.54
Surfer Boat,Port Harcourt-Lagos,November,90.91,Diesel,1628.86,4516.17,Stormy,72.61
Surfer Boat,Warri-Bonny,December,37.38,Diesel,553.42,1518.98,Moderate,79.05
Tanker Ship,Lagos-Apapa,January,312.45,Diesel,14284.0,38368.72,Calm,79.01
Tanker Ship,Lagos-Apapa,February,423.27,Diesel,18214.68,52122.46,Calm,94.38
Tanker Ship,Escravos-Lagos,March,337.15,Diesel,14409.96,41238.1,Moderate,93.83
Tanker Ship,Lagos-Apapa,April,261.92,Diesel,11898.51,29771.29,Moderate,70.95
Tanker Ship,Escravos-Lagos,May,448.48,Diesel,13719.78,40233.07,Stormy,89.59
Tanker Ship,Lagos-Apapa,June,77.81,Diesel,3197.24,8310.12,Calm,79.56
Tanker Ship,Port Harcourt-Lagos,July,58.63,Diesel,2824.38,7883.97,Stormy,80.86
Tanker Ship,Lagos-Apapa,August,391.76,Diesel,17982.2,47203.92,Moderate,75.83
Tanker Ship,Warri-Bonny,September,169.25,Diesel,6930.12,17600.82,Stormy,89.83
Tanker Ship,Escravos-Lagos,October,370.45,Diesel,12931.31,33622.72,Calm,72.13
Tanker Ship,Warri-Bonny,November,76.76,HFO,2479.81,6662.18,Moderate,80.94
Tanker Ship,Lagos-Apapa,December,497.16,Diesel,24648.52,62802.03,Calm,72.14
Fishing Trawler,Escravos-Lagos,January,147.06,HFO,3316.45,8935.16,Stormy,78.5
Fishing Trawler,Lagos-Apapa,February,196.74,Diesel,4024.81,10349.66,Moderate,72.16
Fishing Trawler,Port Harcourt-Lagos,March,120.31,Diesel,2428.08,6772.76,Moderate,92.48
Fishing Trawler,Port Harcourt-Lagos,April,60.39,Diesel,1496.07,4418.47,Calm,85.31
Fishing Trawler,Warri-Bonny,May,160.89,HFO,4216.46,11326.37,Moderate,78.4
Fishing Trawler,Lagos-Apapa,June,58.09,HFO,1483.01,4235.63,Calm,74.19
Fishing Trawler,Escravos-Lagos,July,155.88,Diesel,4394.18,11695.71,Moderate,84.86
Fishing Trawler,Port Harcourt-Lagos,August,195.5,HFO,5815.26,15340.23,Stormy,89.13
Fishing Trawler,Lagos-Apapa,September,69.55,HFO,1745.22,4771.84,Stormy,72.15
Fishing Trawler,Port Harcourt-Lagos,October,128.88,Diesel,3721.28,10572.4,Calm,80.41
Fishing Trawler,Warri-Bonny,November,149.46,Diesel,3676.47,10273.74,Moderate,82.77
Fishing Trawler,Escravos-Lagos,December,60.39,HFO,1780.88,4538.11,Stormy,79.72
Fishing Trawler,Port Harcourt-Lagos,January,90.31,HFO,2085.04,5709.45,Moderate,84.4
Fishing Trawler,Warri-Bonny,February,116.16,Diesel,3342.71,9197.1,Moderate,74.28
Fishing Trawler,Warri-Bonny,March,181.07,HFO,5373.33,15851.55,Stormy,83.54
Fishing Trawler,Lagos-Apapa,April,72.16,Diesel,1503.64,3763.5,Calm,91.0
Fishing Trawler,Warri-Bonny,May,155.61,Diesel,4035.01,10876.77,Moderate,71.13
Fishing Trawler,Port Harcourt-Lagos,June,195.89,HFO,4092.86,11820.35,Calm,72.2
Fishing Trawler,Lagos-Apapa,July,168.1,HFO,4787.33,13209.23,Calm,81.59
Fishing Trawler,Warri-Bonny,August,55.75,HFO,1464.76,4235.17,Calm,89.36
Fishing Trawler,Escravos-Lagos,September,108.17,Diesel,2888.41,7983.75,Moderate,73.43
Fishing Trawler,Lagos-Apapa,October,107.53,Diesel,2186.22,6536.29,Moderate,84.23
Fishing Trawler,Warri-Bonny,November,81.16,HFO,1980.04,5046.94,Stormy,85.69
Fishing Trawler,Port Harcourt-Lagos,December,167.25,Diesel,4376.41,12430.79,Moderate,92.63
Oil Service Boat,Warri-Bonny,January,23.66,Diesel,609.4,1555.32,Moderate,86.98
Oil Service Boat,Escravos-Lagos,February,34.39,Diesel,944.69,2598.62,Stormy,80.47
Oil Service Boat,Warri-Bonny,March,82.31,Diesel,2060.96,6014.03,Calm,74.3
Oil Service Boat,Port Harcourt-Lagos,April,57.76,HFO,1754.24,5109.37,Stormy,92.78
Oil Service Boat,Port Harcourt-Lagos,May,142.27,Diesel,4337.09,11587.23,Moderate,78.94
Oil Service Boat,Lagos-Apapa,June,31.26,HFO,1060.94,2708.64,Calm,88.97
Oil Service Boat,Lagos-Apapa,July,66.04,Diesel,2238.1,5922.4,Moderate,76.42
Oil Service Boat,Warri-Bonny,August,53.74,HFO,1696.23,4353.09,Calm,70.4
Oil Service Boat,Warri-Bonny,September,73.53,Diesel,2550.0,6745.12,Stormy,80.77
Oil Service Boat,Port Harcourt-Lagos,October,39.69,HFO,1148.01,3218.44,Moderate,91.55
Oil Service Boat,Lagos-Apapa,November,103.11,HFO,3480.94,9054.82,Calm,85.64
Oil Service Boat,Escravos-Lagos,December,39.03,Diesel,1252.65,3484.36,Moderate,70.59
Tanker Ship,Lagos-Apapa,January,337.43,Diesel,10786.95,30075.54,Calm,71.85
Tanker Ship,Port Harcourt-Lagos,February,364.78,HFO,11631.0,30068.28,Stormy,83.8
Tanker Ship,Warri-Bonny,March,490.16,Diesel,24321.4,71871.21,Calm,93.41
Tanker Ship,Port Harcourt-Lagos,April,262.21,Diesel,9880.04,27274.67,Stormy,71.69
Tanker Ship,Lagos-Apapa,May,339.19,HFO,13915.91,35657.08,Stormy,82.05
Tanker Ship,Port Harcourt-Lagos,June,326.44,HFO,15694.62,44439.3,Calm,80.76
Tanker Ship,Lagos-Apapa,July,246.4,Diesel,11651.89,29877.46,Moderate,92.15
Tanker Ship,Escravos-Lagos,August,136.52,Diesel,5869.98,16904.2,Stormy,70.18
Tanker Ship,Escravos-Lagos,September,414.23,Diesel,15346.28,39498.78,Calm,76.3
Tanker Ship,Lagos-Apapa,October,356.17,HFO,16579.07,42773.35,Moderate,80.23
Tanker Ship,Escravos-Lagos,November,248.94,Diesel,11621.25,31172.3,Calm,83.31
Tanker Ship,Lagos-Apapa,December,345.77,HFO,16431.99,47054.45,Calm,89.28
Surfer Boat,Warri-Bonny,January,168.03,Diesel,2554.21,6460.12,Stormy,90.96
Surfer Boat,Escravos-Lagos,February,37.91,Diesel,531.28,1498.87,Stormy,93.45
Surfer Boat,Lagos-Apapa,March,88.47,Diesel,894.06,2315.14,Calm,73.06
Surfer Boat,Port Harcourt-Lagos,April,102.3,Diesel,1327.33,3418.28,Moderate,93.8
Surfer Boat,Lagos-Apapa,May,177.6,Diesel,2987.42,8689.15,Stormy,86.97
Surfer Boat,Port Harcourt-Lagos,June,45.92,Diesel,657.61,1742.76,Moderate,85.99
Surfer Boat,Lagos-Apapa,July,131.34,Diesel,2094.87,5529.58,Moderate,82.34
Surfer Boat,Port Harcourt-Lagos,August,46.49,Diesel,833.03,2310.76,Moderate,81.9
Surfer Boat,Port Harcourt-Lagos,September,136.27,Diesel,1467.34,3947.94,Stormy,81.11
Surfer Boat,Port Harcourt-Lagos,October,167.82,Diesel,2207.3,5567.56,Stormy,82.78
Surfer Boat,Port Harcourt-Lagos,November,33.98,Diesel,527.21,1472.81,Calm,93.83
Surfer Boat,Escravos-Lagos,December,61.71,Diesel,708.64,1972.82,Calm,89.22
Oil Service Boat,Warri-Bonny,January,85.61,Diesel,2894.95,7396.44,Moderate,77.99
Oil Service Boat,Warri-Bonny,February,44.59,Diesel,1336.88,3435.55,Stormy,77.98
Oil Service Boat,Lagos-Apapa,March,53.32,Diesel,1396.44,3554.43,Calm,86.97
Oil Service Boat,Lagos-Apapa,April,82.9,HFO,2340.87,5943.84,Moderate,93.5
Oil Service Boat,Port Harcourt-Lagos,May,132.17,HFO,3374.09,10111.98,Calm,89.39
Oil Service Boat,Port Harcourt-Lagos,June,37.34,HFO,1113.36,3092.61,Stormy,94.22
Oil Service Boat,Warri-Bonny,July,56.09,Diesel,1542.52,3879.94,Moderate,91.91
Oil Service Boat,Lagos-Apapa,August,76.32,HFO,1982.49,5008.68,Moderate,81.5
Oil Service Boat,Warri-Bonny,September,77.13,HFO,2561.67,7594.88,Calm,82.28
Oil Service Boat,Port Harcourt-Lagos,October,69.53,Diesel,1768.84,4431.63,Stormy,79.36
Oil Service Boat,Lagos-Apapa,November,114.4,Diesel,3790.28,10702.83,Calm,87.1
Oil Service Boat,Warri-Bonny,December,113.4,Diesel,3527.25,10579.04,Calm,88.55
Surfer Boat,Lagos-Apapa,January,39.1,Diesel,548.06,1536.98,Calm,73.53
Surfer Boat,Port Harcourt-Lagos,February,188.79,Diesel,2733.8,7133.15,Moderate,71.59
Surfer Boat,Escravos-Lagos,March,196.02,Diesel,3806.45,10435.41,Calm,71.86
Surfer Boat,Port Harcourt-Lagos,April,64.54,Diesel,680.75,1985.48,Calm,83.99
Surfer Boat,Lagos-Apapa,May,71.33,Diesel,1357.57,3937.98,Moderate,72.48
Surfer Boat,Lagos-Apapa,June,102.7,Diesel,1150.8,2900.92,Moderate,80.83
Surfer Boat,Port Harcourt-Lagos,July,191.96,Diesel,3549.18,9897.46,Stormy,80.93
Surfer Boat,Warri-Bonny,August,72.07,Diesel,1033.06,2664.76,Stormy,84.52
Surfer Boat,Escravos-Lagos,September,198.44,Diesel,2499.7,6960.11,Stormy,93.36
Surfer Boat,Port Harcourt-Lagos,October,177.53,Diesel,2204.22,5596.13,Moderate,78.77
Surfer Boat,Port Harcourt-Lagos,November,29.59,Diesel,564.97,1580.41,Calm,78.79
Surfer Boat,Escravos-Lagos,December,115.37,Diesel,1805.6,4575.75,Moderate,84.44
Tanker Ship,Warri-Bonny,January,281.21,Diesel,12626.91,37709.61,Calm,72.25
Tanker Ship,Port Harcourt-Lagos,February,462.22,Diesel,19755.51,50871.25,Stormy,76.47
Tanker Ship,Lagos-Apapa,March,94.26,Diesel,3204.13,8662.75,Moderate,89.94
Tanker Ship,Warri-Bonny,April,473.09,HFO,20539.4,59961.61,Moderate,90.78
Tanker Ship,Lagos-Apapa,May,238.81,Diesel,10796.2,30427.94,Stormy,85.61
Tanker Ship,Lagos-Apapa,June,97.09,Diesel,3409.86,9199.7,Stormy,93.55
Tanker Ship,Warri-Bonny,July,233.11,Diesel,10569.12,27167.55,Stormy,73.78
Tanker Ship,Lagos-Apapa,August,453.47,HFO,20172.52,59126.35,Moderate,72.15
Tanker Ship,Lagos-Apapa,September,364.42,HFO,13063.21,36589.4,Stormy,90.92
Tanker Ship,Warri-Bonny,October,429.43,Diesel,17125.78,42988.56,Moderate,75.28
Tanker Ship,Warri-Bonny,November,391.77,Diesel,17631.29,48288.47,Moderate,74.77
Tanker Ship,Warri-Bonny,December,102.58,Diesel,4047.78,10829.65,Stormy,73.48
Tanker Ship,Lagos-Apapa,January,380.49,HFO,16231.89,44957.55,Stormy,76.51
Tanker Ship,Port Harcourt-Lagos,February,150.79,HFO,5155.01,14108.34,Calm,72.59
Tanker Ship,Escravos-Lagos,March,379.45,HFO,15476.2,41858.53,Calm,83.25
Tanker Ship,Port Harcourt-Lagos,April,237.22,Diesel,7165.46,21254.59,Stormy,79.48
Tanker Ship,Escravos-Lagos,May,242.71,Diesel,9715.63,28928.28,Stormy,72.24
Tanker Ship,Warri-Bonny,June,222.86,HFO,6918.25,18129.18,Stormy,74.13
Tanker Ship,Lagos-Apapa,July,243.28,Diesel,10597.84,28430.05,Calm,72.21
Tanker Ship,Port Harcourt-Lagos,August,398.12,Diesel,16292.03,42561.16,Stormy,91.55
Tanker Ship,Warri-Bonny,September,170.59,HFO,5613.51,15671.15,Stormy,71.35
Tanker Ship,Lagos-Apapa,October,308.63,HFO,11533.08,32171.93,Stormy,90.28
Tanker Ship,Warri-Bonny,November,483.05,HFO,16567.54,43762.71,Stormy,89.88
Tanker Ship,Lagos-Apapa,December,275.21,Diesel,11450.81,31485.1,Stormy,91.67
Surfer Boat,Port Harcourt-Lagos,January,39.85,Diesel,701.49,2021.9,Calm,86.51
Surfer Boat,Port Harcourt-Lagos,February,32.2,Diesel,404.9,1022.19,Stormy,79.34
Surfer Boat,Lagos-Apapa,March,70.82,Diesel,1307.9,3875.36,Moderate,85.71
Surfer Boat,Escravos-Lagos,April,113.52,Diesel,1856.06,5269.68,Stormy,91.81
Surfer Boat,Lagos-Apapa,May,63.25,Diesel,675.8,2004.4,Calm,83.96
Surfer Boat,Warri-Bonny,June,80.21,Diesel,1173.95,3451.06,Moderate,74.14
Surfer Boat,Escravos-Lagos,July,34.56,Diesel,504.65,1410.81,Stormy,79.34
Surfer Boat,Lagos-Apapa,August,150.1,Diesel,2780.98,7093.56,Stormy,91.9
Surfer Boat,Escravos-Lagos,September,74.44,Diesel,1260.63,3532.99,Calm,76.64
Surfer Boat,Escravos-Lagos,October,73.51,Diesel,1332.75,3409.08,Stormy,70.88
Surfer Boat,Lagos-Apapa,November,171.31,Diesel,2140.45,6324.12,Calm,71.5
Surfer Boat,Lagos-Apapa,December,106.5,Diesel,1548.12,4356.4,Calm,71.23
Fishing Trawler,Port Harcourt-Lagos,January,188.94,Diesel,5410.08,14352.13,Calm,92.08
Fishing Trawler,Port Harcourt-Lagos,February,59.55,Diesel,1727.47,4456.51,Calm,85.29
Fishing Trawler,Escravos-Lagos,March,50.74,Diesel,1100.26,3284.57,Calm,84.38
Fishing Trawler,Warri-Bonny,April,124.04,Diesel,3072.12,8189.81,Calm,84.88
Fishing Trawler,Lagos-Apapa,May,57.02,HFO,1614.61,4703.31,Stormy,88.63
Fishing Trawler,Warri-Bonny,June,126.52,Diesel,3040.42,8794.4,Calm,78.24
Fishing Trawler,Escravos-Lagos,July,101.03,HFO,2871.67,8264.78,Moderate,91.55
Fishing Trawler,Lagos-Apapa,August,94.5,Diesel,2724.78,7330.98,Stormy,73.97
Fishing Trawler,Lagos-Apapa,September,148.66,HFO,3120.76,8682.98,Stormy,78.35
Fishing Trawler,Lagos-Apapa,October,170.89,Diesel,4612.21,13811.49,Stormy,73.89
Fishing Trawler,Warri-Bonny,November,177.26,Diesel,4994.45,14632.07,Calm,83.91
Fishing Trawler,Lagos-Apapa,December,168.28,Diesel,5044.11,12731.54,Stormy,75.23
Oil Service Boat,Lagos-Apapa,January,98.82,Diesel,2550.32,6706.7,Moderate,79.87
Oil Service Boat,Port Harcourt-Lagos,February,149.95,Diesel,5059.64,13341.84,Moderate,71.2
Oil Service Boat,Lagos-Apapa,March,141.31,Diesel,3785.67,10017.88,Moderate,92.56
Oil Service Boat,Lagos-Apapa,April,134.49,Diesel,3679.5,9410.46,Calm,85.3
Oil Service Boat,Port Harcourt-Lagos,May,25.14,HFO,802.83,2201.69,Calm,92.69
Oil Service Boat,Lagos-Apapa,June,137.44,HFO,3459.59,8772.44,Stormy,78.53
Oil Service Boat,Lagos-Apapa,July,118.76,Diesel,3617.84,9348.81,Moderate,91.54
Oil Service Boat,Warri-Bonny,August,146.7,HFO,3970.47,11420.54,Calm,81.52
Oil Service Boat,Escravos-Lagos,September,146.46,HFO,4226.71,12390.7,Calm,80.05
Oil Service Boat,Port Harcourt-Lagos,October,43.94,Diesel,1250.62,3536.87,Stormy,93.5
Oil Service Boat,Port Harcourt-Lagos,November,98.02,HFO,2541.75,6967.32,Calm,76.45
Oil Service Boat,Lagos-Apapa,December,86.94,HFO,2602.59,6916.44,Calm,79.64
Surfer Boat,Lagos-Apapa,January,79.49,Diesel,997.81,2570.9,Moderate,80.85
Surfer Boat,Port Harcourt-Lagos,February,91.03,Diesel,1524.31,3820.28,Moderate,92.16
Surfer Boat,Lagos-Apapa,March,84.7,Diesel,1664.31,4952.87,Stormy,83.55
Surfer Boat,Escravos-Lagos,April,48.8,Diesel,893.45,2411.85,Stormy,82.01
Surfer Boat,Escravos-Lagos,May,151.59,Diesel,2651.94,7070.14,Calm,94.39
Surfer Boat,Port Harcourt-Lagos,June,144.64,Diesel,2150.85,5399.16,Moderate,86.2
Surfer Boat,Port Harcourt-Lagos,July,149.94,Diesel,1714.08,4692.99,Calm,76.71
Surfer Boat,Warri-Bonny,August,195.8,Diesel,3199.53,9311.24,Moderate,77.66
Surfer Boat,Warri-Bonny,September,188.8,Diesel,3031.95,8712.31,Calm,74.89
Surfer Boat,Port Harcourt-Lagos,October,59.24,Diesel,597.95,1776.85,Moderate,71.08
Surfer Boat,Port Harcourt-Lagos,November,78.33,Diesel,864.43,2489.25,Moderate,75.51
Surfer Boat,Warri-Bonny,December,177.1,Diesel,2262.22,6635.75,Moderate,72.19
Oil Service Boat,Escravos-Lagos,January,65.09,Diesel,1639.52,4268.91,Calm,70.9
Oil Service Boat,Port Harcourt-Lagos,February,80.94,Diesel,2794.15,7331.74,Calm,70.28
Oil Service Boat,Lagos-Apapa,March,111.83,HFO,2931.78,8441.66,Stormy,93.23
Oil Service Boat,Lagos-Apapa,April,144.78,HFO,3654.0,10239.48,Moderate,72.53
Oil Service Boat,Port Harcourt-Lagos,May,104.87,HFO,3595.51,9075.2,Calm,71.44
Oil Service Boat,Lagos-Apapa,June,118.46,HFO,3977.01,10237.31,Stormy,74.42
Oil Service Boat,Port Harcourt-Lagos,July,142.81,Diesel,4507.52,11394.97,Calm,85.88
Oil Service Boat,Port Harcourt-Lagos,August,131.17,Diesel,3455.18,10315.59,Stormy,92.23
Oil Service Boat,Lagos-Apapa,September,58.76,Diesel,2035.11,5758.81,Calm,81.51
Oil Service Boat,Port Harcourt-Lagos,October,112.1,Diesel,3427.21,9190.04,Moderate,70.46
Oil Service Boat,Escravos-Lagos,November,119.8,Diesel,3819.56,10191.39,Stormy,87.11
Oil Service Boat,Warri-Bonny,December,56.92,Diesel,1468.97,3842.0,Stormy,87.56
Oil Service Boat,Lagos-Apapa,January,58.23,HFO,1699.53,4978.93,Moderate,77.69
Oil Service Boat,Warri-Bonny,February,88.7,Diesel,2581.1,7472.59,Calm,76.97
Oil Service Boat,Warri-Bonny,March,53.49,HFO,1656.17,4566.03,Moderate,85.52
Oil Service Boat,Warri-Bonny,April,103.91,Diesel,2971.8,8699.04,Stormy,81.89
Oil Service Boat,Port Harcourt-Lagos,May,87.17,HFO,2651.01,6926.5,Moderate,70.69
Oil Service Boat,Escravos-Lagos,June,89.54,HFO,2681.88,7056.44,Moderate,89.57
Oil Service Boat,Port Harcourt-Lagos,July,119.39,HFO,3939.71,11380.27,Calm,74.09
Oil Service Boat,Warri-Bonny,August,24.39,HFO,846.01,2408.78,Stormy,84.64
Oil Service Boat,Escravos-Lagos,September,126.22,Diesel,4211.08,11335.36,Calm,85.1
Oil Service Boat,Warri-Bonny,October,62.68,Diesel,1954.11,5474.73,Calm,78.68
Oil Service Boat,Lagos-Apapa,November,45.26,Diesel,1511.04,4101.19,Stormy,81.2
Oil Service Boat,Warri-Bonny,December,69.01,HFO,1880.5,5418.76,Stormy,87.39
Tanker Ship,Lagos-Apapa,January,65.09,Diesel,2905.25,7913.94,Calm,94.32
Tanker Ship,Port Harcourt-Lagos,February,91.8,HFO,4366.78,12138.52,Moderate,83.58
Tanker Ship,Escravos-Lagos,March,149.01,HFO,5384.01,15352.62,Moderate,91.94
Tanker Ship,Escravos-Lagos,April,86.1,HFO,4287.66,11212.65,Calm,93.93
Tanker Ship,Port Harcourt-Lagos,May,485.87,Diesel,21327.56,56312.51,Moderate,90.51
Tanker Ship,Warri-Bonny,June,117.2,HFO,4671.66,13171.16,Calm,93.67
Tanker Ship,Lagos-Apapa,July,274.41,HFO,10317.72,27686.92,Moderate,80.56
Tanker Ship,Port Harcourt-Lagos,August,182.72,Diesel,6679.56,17773.93,Moderate,93.76
Tanker Ship,Escravos-Lagos,September,297.36,Diesel,13897.02,40922.2,Moderate,94.48
Tanker Ship,Warri-Bonny,October,242.97,HFO,7897.76,22654.04,Calm,88.94
Tanker Ship,Escravos-Lagos,November,416.14,Diesel,17607.05,48894.32,Stormy,81.39
